titulo,autores,resumo,link,data,imagem_url,fonte
Further results on the lower bound on reduced Zagreb index of trees,"Milan Bašić , Aleksandar Ilić","For a graph $G$, the general reduced second Zagreb index is defined as $$GRM_λ(G) = \sum_{uv \in E} (deg(u) + λ) (deg(v) + λ),$$ where $λ$ is an arbitrary real number and $deg (v)$ is the degree of the vertex $v$.
  In this paper, we extend and correct the equality results from [N. Dehgardia, S. Klav\v zar, {\it Improved lower bounds on the general reduced second Zagreb index of trees}, preprint (2023)] regarding the minimal value of $GRM_λ$ for $λ\geq -1$ among trees with $n$ vertices and a maximal degree $Δ$. Furthermore, we complement these results with two distinct approaches to determine the minimum value of the general reduced second Zagreb index for molecular trees with $Δ= 3$ and $Δ= 4$ in $λ= -2$ , and characterize the extremal trees. △ Less",https://arxiv.org/abs/2604.06044,"Submitted 7 April, 2026",,arXiv
Value Mirror Descent for Reinforcement Learning,"Zhichao Jia , Guanghui Lan","Value iteration-type methods have been extensively studied for computing a nearly optimal value function in reinforcement learning (RL). Under a generative sampling model, these methods can achieve sharper sample complexity than policy optimization approaches, particularly in their dependence on the discount factor. In practice, they are often employed for offline training or in simulated environments. In this paper, we consider discounted Markov decision processes with state space S, action space A, discount factor $γ\in(0,1)$ and costs in $[0,1]$. We introduce a novel value optimization method, termed value mirror descent (VMD), which integrates mirror descent from convex optimization into the classical value iteration framework. In the deterministic setting with known transition kernels, we show that VMD converges linearly. For the stochastic setting with a generative model, we develop a stochastic variant, SVMD, which incorporates variance reduction commonly used in stochastic value iteration-type methods. For RL problems with general convex regularizers, SVMD attains a near-optimal sample complexity of $\tilde{O}(|S||A|(1-γ)^{-3}ε^{-2})$ . Moreover, we establish that the Bregman divergence between the generated and optimal policies remains bounded throughout the iterations. This property is absent in existing stochastic value iteration-type methods but is important for enabling effective online (continual) learning following offline training. Under a strongly convex regularizer, SVMD achieves sample complexity of $\tilde{O}(|S||A|(1-γ)^{-5}ε^{-1})$, improving performance in the high-accuracy regime. Furthermore, we prove convergence of the generated policy to the optimal policy. Overall, the proposed method, its analysis, and the resulting guarantees, constitute new contributions to the RL and optimization literature. △ Less",https://arxiv.org/abs/2604.06039,"Submitted 7 April, 2026",,arXiv
Lyman-$α$ Forest Signatures of Mixed Fuzzy and Cold Dark Matter,Yourong Frank Wang,"We investigate Lyman-alpha forest flux statistics in mixed fuzzy dark matter (FDM) and cold dark matter (CDM) cosmologies using the Fluctuating Gunn-Peterson Approximation (FGPA) applied to hybrid Schrödinger-Poisson and N-body simulations. We evolve the dark matter distribution from z = 120 to z = 2 for an axion mass ( m_22 = 0.01) and FDM fraction (f_A = 0.1), and compare two realizations with identical initial conditions: one evolved with a particle-only approximation and one with full wave--mechanical dynamics.
  We find that, despite near-degeneracy in the nonlinear matter power spectrum, the corresponding Ly α flux power spectra differ at the 10 percent level on intermediate scales. This discrepancy arises from a strong suppression of small-scale velocity power in the Schrödinger--Poisson evolution, which is not captured by N-body treatments with matched initial transfer functions. As a result, the flux statistics cannot be fully characterized by the matter power spectrum alone, but depend sensitively on the dynamical evolution of the velocity field. These results demonstrate that wave-mechanical effects in FDM leave distinct kinematic imprints in Ly α observables beyond those associated with initial-condition suppression. While our analysis is based on an idealized FGPA framework, it isolates a mechanism by which mixed dark matter models can break degeneracies present in standard structure-based probes, motivating further investigation with full hydrodynamical simulations. △ Less",https://arxiv.org/abs/2604.06038,"Submitted 7 April, 2026",,arXiv
cuRAMSES: Scalable AMR Optimizations for Large-Scale Cosmological Simulations,Juhan Kim,"We present cuRAMSES, a suite of advanced domain decomposition strategies and algorithmic optimizations for the ramses adaptive mesh refinement (AMR) code, designed to overcome the communication, memory, and solver bottlenecks inherent in massive cosmological simulations. The central innovation is a recursive k-section domain decomposition that replaces the traditional Hilbert curve ordering with a hierarchical spatial partitioning. This approach substitutes global all-to-all communications with neighbour-only point-to-point communications. By maintaining a constant number of communication partners regardless of the total rank count, it significantly improves strong scaling at high concurrency. To address critical memory constraints at scale, we introduce a Morton-key hash table for octree-neighbour lookup alongside on-demand array allocation, drastically reducing the per-rank memory footprint. Furthermore, a novel spatial hash-binning algorithm in box-type local domains accelerates supernova and AGN feedback routines by over two orders of magnitude (an about 260 times speedup). For hybrid architectures, an automatic CPU/GPU dispatch model with GPU-resident mesh data is implemented and benchmarked. The multigrid Poisson solver achieves a 1.7 times GPU speedup on H100 and A100 GPUs, although the Godunov solver is currently PCIe-bandwidth-limited. The net improvement is about 20 per cent on current PCIe-connected hardware, and a performance model predicts about 2 times on tightly coupled architectures such as the NVIDIA GH200. Additionally, a variable-Nrank restart capability enables flexible I/O workflows. Extensive diagnostics verify that all modifications preserve mass, momentum, and energy conservation, matching the reference Hilbert-ordering run to within 0.5 per cent in the total energy diagnostic. △ Less",https://arxiv.org/abs/2604.06035,"Submitted 7 April, 2026",,arXiv
On maximal ladders,Lorenzo Notaro,"Given a positive integer $n$, an $n$-ladder is a lower finite lattice whose elements have at most $n$ lower covers. In 1984, Ditor proved that every $n$-ladder has cardinality at most $\aleph_{n-1}$ and asked whether this bound is sharp, i.e., whether for each $n$ there is an $n$-ladder of cardinality $\aleph_{n-1}$. We isolate the notion of maximal $n$-ladder and use it to study Ditor's problem and related questions. We show that $\text{Add}(ω, ω_ω)$ forces every maximal $n$-ladder to have cardinality $\aleph_{n-1}$, and hence forces a positive answer to Ditor's question for every $n$. In particular, it is consistent that there are no maximal $3$-ladders of cardinality $\aleph_1$. However, we show that the existence of such a ladder follows from $\mathfrak{d}=\aleph_1$. Under $\clubsuit$, we construct a maximal $3$-ladder of breadth $2$ . Finally, we prove that, consistently (under $\diamondsuit$), there exists a maximal $3$-ladder that is destructible by forcing with a Suslin tree. △ Less",https://arxiv.org/abs/2604.06031,"Submitted 7 April, 2026",,arXiv
Exploring bosonic bound states with parallel reaction coordinates,"Guan-Yu Lai , Friedemann Queißer , Gernot Schaller","Bound states are dissipation-resilient states that may emerge when quantum systems are strongly coupled to reservoirs with band gaps. We analyze an exactly solvable bosonic model for bound state existence and reproduce these results by a weak-coupling treatment of a supersystem composed of the original system and multiple reaction coordinates, which are individually representing small energy intervals of the reservoir spectral function. Within the perturbative supersystem treatment, the bound state stability results from its energy being inside the band gap. We discuss cases of multiple band gaps and also show that already in presence of weak interactions the bound state's lifetime is finite -- but can be increased by raising the system-reservoir coupling strength. △ Less",https://arxiv.org/abs/2604.06027,"Submitted 7 April, 2026",,arXiv
Gauge Symmetry Breaking in the Asymptotic Analysis of Self Dual Yang-Mills-Higgs $SU(2)$ Monopoles,Tristan Rivière,"We consider the $SU(2)$ Self-Dual Yang Mills Higgs Lagrangian in 3 dimension. By adding a ''Gauge Mass'' term to this YMH Lagrangian in the form of $L^2$ norm of the connection we break the gauge invariance and critical points are automatically fulfilling globally the Coulomb condition. We study the so called ``large mass asymptotic'', which has the effect of ''squeezing'' the monopoles. For any unit Higgs field data at the boundary we prove that minimizers of this Coulomb-Yang-Mills-Higgs Functional converge to harmonic maps into ${\mathbb S}^2$ extending this data. This asymptotic moreover is subject to concentration conpactness phenomena and the convergence is strong away from a 1 dimensional rectifiable closed concentration set. Then we prove that, having chosen a large enough coupling constant, the limiting minimal energy is converging towards the minimal Brezis-Coron-Lieb relaxed harmonic map energy for this boundary data. In the second part of the paper we examine a different asymptotic regime characterised by overloading monopoles. In this regime we prove that asymptotically, the magnetic field becomes exclusively longitudinal with a $U(1)$ abelian component along the Higgs Field while the Higgs field itself converges to a smooth absolute minimizer of a relaxation of the Faddeev-Skyrme functional of maps from ${\mathbb B}^3$ into ${\mathbb S}^2$ . In the third part of the paper we study the behaviour of these configurations when the parameter in front of the Fadeev-Skyrme component respectively goes to zero and $+\infty$. In the first case one recovers the Brezis Coron Lieb relaxed energy at the limit while in the second case the minimal limiting energy is converging towards the minimal Dirichlet energy of maps into ${\mathbb S}^3$ whose projection by the Hopf fibration is equal to the fixed boundary data. △ Less",https://arxiv.org/abs/2604.06026,"Submitted 7 April, 2026",,arXiv
Testing parity with composite-field spectra of BOSS and DESI luminous red galaxies,"Zucheng Gao , Marina S. Cagliari , Azadeh Moradinezhad Dizgah , Zvonimir Vlah","Detection of parity violation on cosmological scales would have profound implications for fundamental physics. Motivated in part by recent measurements of parity-odd four-point correlation functions in BOSS and DESI luminous red galaxy samples, which probe parity violation in the scalar sector, we present the first measurement of parity-odd kurto spectra in spectroscopic galaxy survey data. We analyse two composite-field spectra, $\mathcal{P}_{2\times2}$ (vector--pseudo-vector) and $\mathcal{P}_{3\times1}$ (scalar--pseudo-scalar). Compared with parity-odd four-point correlation function analyses, the kurto-spectrum formalism performs physically motivated compression on the trispectrum into a substantially lower-dimensional data vector, allowing direct estimation of covariance matrices from mock catalogues and reducing sensitivity to covariance-modelling systematics. Using null-hypothesis $χ^2$ tests and cross-patch consistency checks, we find no evidence for a cosmological parity-violating signal in either survey. We examine the impact of the adopted mock catalogues and find that the high-fidelity mocks provide a better match to the data of both surveys than the approximate mocks. The DESI DR1 measurements exhibit a scatter smaller than that of BOSS DR12 by about a factor of four, consistent with the improved statistical precision expected from the higher tracer number density. Future DESI data releases, with larger volume and number density, together with larger suites of high-fidelity mocks, can enable significantly sharper tests of parity violation using kurto spectra. △ Less",https://arxiv.org/abs/2604.06021,"Submitted 7 April, 2026",,arXiv
"Analyticity, asymptotics and natural boundary for a one-point function of the finite-volume critical Ising chain",Yizhuang Liu,"This note reports the following observation: the finite-volume expectation value of the spin operator (the one-point function) between the $\mathbb{Z}_2$-even and odd ground states in the critical periodic Ising chain, when continued as a complex-analytic function of the system length $N$ through the Borel resummation of its large-$N$ expansion, has a natural boundary of analyticity along the negative real axis. The singular behavior near the negative real axis, after an exponential map, is the same as that of a Lambert-type series for the odd-divisor-squared sum near the unit circle $|z|=1$. The same divisor sum also governs the strengths of the Borel discontinuities of the one-point function's factorially-divergent large-$N$ asymptotics. We also report the all-order large-$N$ asymptotics of the leg function for the finite-volume spin-operator form factor, and the similarities to certain known quantities in the literature. △ Less",https://arxiv.org/abs/2604.06011,"Submitted 7 April, 2026",,arXiv
Are Black Holes Fuzzballs? Probing Horizon-Scale Structure with LISA,"Pablo F. Muguruza , Carlos F. Sopuerta","Gravitational waves provide a unique probe of the strong-field regime of gravity, offering access to physics beyond the classical black hole paradigm. We explore how space-based observations of extreme-mass-ratio inspirals (EMRIs) by the Laser Interferometer Space Antenna (LISA) can be used to test the fuzzball proposal, a quantum gravity-inspired alternative to Kerr black holes. By introducing generic multipolar deformations encoding potential symmetry breakings and performing a systematic parameter estimation analysis, we forecast LISA's ability to constrain deviations from the Kerr geometry in the near-horizon region. We show that EMRI signals with realistic signal-to-noise ratios can constrain multiple higher-order multipoles at levels orders of magnitude beyond current electromagnetic and ground-based gravitational-wave bounds, opening a new observational window onto horizon-scale structure. In particular, we find that LISA can constrain generic non-axisymmetric mass quadrupole deformations at the $10^{-3}$ level and axisymmetric mass octupole deformations at the $10^{-2}$ level, providing concrete observational targets for identifying fuzzball geometries. Our results demonstrate that precision measurements of EMRI waveforms will transform LISA into a powerful laboratory for fundamental physics and offer the first direct empirical constraints on quantum-gravity-motivated models of compact objects. △ Less",https://arxiv.org/abs/2604.06009,"Submitted 7 April, 2026",,arXiv
"Scaling Laws for Hybrid Quantum Neural Networks: Depth, Width, and Quantum-Centric Diagnostics","Danil Vyskubov , Kirill Vyskubov , Nouhaila Innan , Muhammad Shafique","Hybrid quantum neural networks are increasingly explored for classification, yet it remains unclear how their performance and quantum behavior scale with circuit depth and qubit count. We present a controlled scaling study of hybrid quantum-classical classifiers along two axes: (1) increasing the number of quantum layers L at fixed qubits Q, and ( 2 ) increasing the number of qubits Q at fixed depth L. Across multiple datasets, we evaluate predictive performance using Accuracy, PR-AUC, Precision, Recall, and F1, and track quantum-specific metrics (QCE, EEE, QGN) to characterize how quantum properties evolve under scaling. Our results summarize scaling trends, saturation regimes, and dataset-dependent sensitivity, and further analyze how quantum metrics relate to predictive performance. This study provides practical guidance for selecting (Q,L) in hybrid QNN classifiers and establishes a consistent evaluation protocol for scaling analysis. △ Less",https://arxiv.org/abs/2604.06007,"Submitted 7 April, 2026",,arXiv
Disentangling MLP Neuron Weights in Vocabulary Space,"Asaf Avrahamy , Yoav Gur-Arieh , Mor Geva","Interpreting the information encoded in model weights remains a fundamental challenge in mechanistic interpretability. In this work, we introduce ROTATE (Rotation-Optimized Token Alignment in weighT spacE), a data-free method requiring no forward passes that disentangles MLP neurons directly in weight space. Our approach relies on a key statistical observation: neurons that encode coherent, monosemantic concepts exhibit high kurtosis when projected onto the model's vocabulary. By optimizing rotations of neuron weights to maximize their vocabulary-space kurtosis, our method recovers sparse, interpretable directions which we name vocabulary channels. Experiments on Llama-3.1-8B-Instruct and Gemma- 2 -2B-it demonstrate that ROTATE consistently recovers vocabulary channels that are faithful to the neuron's behavior. ablating individual channels selectively disables corresponding input activations or the promotion of specific concepts. Moreover, aggregating channel-level descriptions yields comprehensive neuron descriptions that outperform optimized activation-based baselines by 2 -3x in head-to-head comparisons. By providing a data-free decomposition of neuron weights, ROTATE offers a scalable, fine-grained building block for interpreting LMs. △ Less",https://arxiv.org/abs/2604.06005,"Submitted 7 April, 2026",,arXiv
Rf spectra and pseudogap in ultracold Fermi gases across the BCS-BEC crossover from pairing fluctuation theory,"Chuping Li , Lin Sun , Kaichao Zhang , Junru Wu , Yuxuan Wu , Dingli Yuan , Pengyi Chen , Qijin Chen","The pseudogap phenomenon is a hallmark of strongly interacting Fermi systems, from high-temperature superconductors to ultracold atomic gases, yet its precise origin remains debated. Here we calculate the spectral function and rf spectra of ultracold atomic gases across the BCS-BEC crossover to quantitatively investigate the pairing mechanism of the pseudogap. We advance our pairing fluctuation theory by incorporating particle-hole fluctuations, which renormalize the effective interaction in the particle-particle channel. To achieve quantitative accuracy, we employ a full numerical convolution for the pair susceptibility and self-energy, moving beyond previous analytic pseudogap approximations. This convolution approach automatically captures two critical effects: (i) the full spectral broadening of fermions due to finite pair lifetime, and (ii) the previously neglected pair-hole scattering effect, which manifests as a substantial Hartree energy. We calculate the spectral function, and use rf spectral intensity maps and energy distribution curves to determine the quasiparticle dispersion. From these, we extract the pseudogap $Δ$, Hartree energy, and chemical potential, mapping their evolution across the crossover. Our results show that the pseudogap emerges continuously as the system moves from the BCS regime toward BEC. Furthermore, the pair spectral function reveals that pairs become diffusive at energies above 2 $Δ$, indicating that the pair lifetime is governed by virtual binding and unbinding processes. Our calculations achieve quantitative agreement with recent experiments across the BCS-BEC crossover, including at unitarity, providing strong support for a pairing-based origin of the pseudogap as described by our pairing fluctuation theory. △ Less",https://arxiv.org/abs/2604.06004,"Submitted 7 April, 2026",,arXiv
Probing the Solar $^8$B Neutrino Fog with XENONnT,"E. Aprile , J. Aalbers , K. Abe , M. M. Abu Rmeileh , M. Adrover , S. Ahmed Maouloud , L. Althueser , B. Andrieu , E. Angelino , D. Antón Martin , S. R. Armbruster , F. Arneodo , L. Baudis , M. Bazyk , V. Beligotti , L. Bellagamba , R. Biondi , A. Bismark , K. Boese , R. M. Braun , G. Bruni , R. Budnik , C. Cai , C. Capelli , J. M. R. Cardoso , et al. (154 additional authors not shown)","We report a 3.3 $σ$ measurement of coherent elastic neutrino-nucleus scattering from solar $^8$B neutrinos using a 6.77 t$\times$yr exposure from the XENONnT experiment, inferring a solar $^8$B neutrino flux of $(5_{-2}^{+3})\times 10^6\,\mathrm{cm}^{-2}\mathrm{s}^{-1}$ , consistent with previous measurements. In the presence of the $^8$B ""neutrino fog"", we find no evidence for light dark matter, and observe diminishing returns in sensitivity with increasing exposure. A 93% increase in exposure from the previous search improves the median sensitivity to 5 GeV/ $c^2$ weakly interacting massive particles-nucleon cross section by 10%. The dataset was also used to measure the weak mixing angle at $\sim$ 0.02 GeV/$c$ momentum transfer and constrain physics beyond the Standard Model. △ Less",https://arxiv.org/abs/2604.06002,"Submitted 7 April, 2026",,arXiv
Branching Process in a Varying Environment: How to Grow Like the Product of Means,"Y. Kirpicheva , A. Shklyaev","Consider a branching process $\{Z_n\}$ in a varying environment. Let $\{W_n\}$ be the natural martingale $Z_n/{\bf E}Z_n$. It converges to some random variable $W$ as $n\to\infty$. An important problem is to show that ${\bf P}(W>0)$ equals the survival probability, so that $Z_n$ is either $0$ or of the order ${\bf E}Z_n$. We find a new kind of sufficient conditions, applicable to branching processes in a random environment. An important property of our estimates is that we don't necessary assume that ${\bf E}X_{i,1}^2$ are finite for every $i$. △ Less",https://arxiv.org/abs/2604.05999,"Submitted 7 April, 2026",,arXiv
Numerically Exact Study of Flat-Band Superconductivity,"I. S. Tupitsyn , B. Currie , B. V. Svistunov , E. Kozik , N. V. Prokof'ev","Current theories of high-temperature superconductivity in flat-band systems predict a linear dependence of the transition temperature on the attractive interaction, $T_c(U) = c|U|$. However, neither the value of $c$ nor the full nonlinear $T_c(U)$ curve -- with a maximum at large $|U|$ -- is known beyond mean-field and quantum geometry estimates. Using a controlled diagrammatic Monte Carlo technique, we trace the onset of superfluid response in the Lieb lattice with attractive Hubbard interaction. Focusing on the half-filled flat-band case, where the ordering mechanism differs fundamentally from both BCS and preformed Cooper pair scenarios, we find that the pairing response diverges linearly with decreasing temperature over a broad range of $U$, leading to a sharp crossover to long-range correlations at a characteristic temperature $T_*$, which provides a controlled upper bound on $T_c$. The highest $T_*$ occurs when all three bands touch at a single momentum point, potentially corresponding to high $T_c$ values. △ Less",https://arxiv.org/abs/2604.05997,"Submitted 7 April, 2026",,arXiv
Band-basis decomposition of superfluid weight in magic-angle twisted bilayer graphene: Quantifying geometric and conventional contributions,Jian Zhou,"We decompose the superfluid weight D_s of magic-angle twisted bilayer graphene (MATBG) into conventional (band-velocity) and geometric (interband-coherence) contributions using a band-basis current operator splitting applied to the Bistritzer-MacDonald continuum model. In the flat-band subspace, quantum geometry accounts for 22-26% of D_s at charge neutrality depending on pairing symmetry, with cross terms vanishing to machine precision. Including remote bands raises the geometric fraction to ~55-58%, while D_s^conv converges to within 2 % -- demonstrating that remote bands contribute exclusively through interband coherence. The geometric fraction peaks at ~27-33% near the nu = +/- 2 fillings where superconductivity is strongest, and is insensitive to gap magnitude in the experimentally relevant range. △ Less",https://arxiv.org/abs/2604.05994,"Submitted 7 April, 2026",,arXiv
Quasinormal modes of coupled metric-dilaton perturbations in two-dimensional stringy black holes,"Wen-Hao Bian , Zhu-Fang Cui","We investigate the quasinormal modes (QNMs) associated with intrinsic metric-dilaton coupled perturbations of the Mandal-Sengupta-Wadia (MSW) black hole in two-dimensional string theory. Through suitable field redefinitions, the gravity-dilaton system is expressed in terms of the conformal factor and a redefined dilaton field, allowing the linear perturbation equations to be reduced to coupled Schrodinger-type eigenvalue equations in the tortoise coordinate. By imposing the standard QNMs' boundary conditions of purely ingoing waves at the horizon and purely outgoing waves at spatial infinity, we numerically determine the complex frequency spectrum. All modes satisfy Im$(ω)<0$, confirming the linear stability of the MSW black hole under intrinsic coupled perturbations. Unlike external scalar-field perturbations, which yield purely imaginary frequencies, the intrinsic perturbations generically exhibit nonvanishing real parts, corresponding to oscillatory modes of the gravity-dilaton sector. The real part of the frequency displays a nonmonotonic dependence on the overtone number, while increasing the central-charge parameter $\sqrt{k}$ systematically decreases the damping rate and prolongs the relaxation time. These results indicate that intrinsic perturbations probe internal dynamical degrees of freedom and reveal characteristic features of the relaxation dynamics of two-dimensional stringy black holes. △ Less",https://arxiv.org/abs/2604.05988,"Submitted 7 April, 2026",,arXiv
Self-gravitating thin shells are dynamically unstable on all angular scales,"Tristan Pitre , Berend Schneider , Eric Poisson","We establish the dynamical instability of a static, spherically symmetric, and infinitesimally thin shell in general relativity. The shell is made up of a perfect fluid with a barotropic equation of state, and it produces a Schwarzschild spacetime in its exterior and a Minkowski spacetime in its interior. We reveal the existence of two modes with a purely imaginary frequency, one negative (which describes stable oscillations), the other positive (which describes an exponential growth); these modes occur for all sampled values of the shell's compactness and adiabatic index, and all sampled values of the multipolar order $\ell \geq 2$ , in the even-parity sector of the perturbation. All other quasinormal modes describe damped oscillations. This study complements a recent analysis by Yang, Bonga, and Pen, which also concluded in a dynamical instability, but was limited by an eikonal approximation to small angular scales ($\ell \gg 1$); our treatment applies to all angular scales. The eigenvalue problem for the mode frequencies is formulated by introducing a perturbation of Minkowski spacetime, a perturbation of Schwarzschild spacetime, and a perturbation of the shell matter. The metric perturbations are governed by the Einstein field equations, and they are matched across the shell with the help of Israel's junction conditions. The matter perturbation is governed by the equations of fluid mechanics, and it produces a source term in the junction conditions. All calculations are carried out in full general relativity, but we also examine a nonrelativistic formulation of the problem; we show that a Newtonian shell also is necessarily unstable to a time-dependent perturbation. Our conclusion suggests that a compact object that features a thin shell at its surface will be dynamically unstable; this makes it nonviable as a model of black-hole mimicker. △ Less",https://arxiv.org/abs/2604.05980,"Submitted 7 April, 2026",,arXiv
Analytic and combinatorial approaches to a weighted Catalan sum,Jean-Christophe Pain,"We analyze a weighted convolution of Catalan numbers $$ \sum_{k=0}^{n} \binom{2k}{k}\binom{2(n-k)}{n-k} a^k = \sum_{k=0}^{n} (k+1)(n-k+1) C_k C_{n-k} a^k, $$ emphasizing its combinatorial, analytic, and probabilistic aspects. We derive a compact closed form in terms of the Gauss hypergeometric function ${}_2F_1(-n,1/2;1;1-a)$, valid for all complex values of the parameter $a$. The sum admits a natural interpretation in terms of return probabilities of independent simple random walks, linking weighted convolutions of central binomial coefficients to classical probability theory. Furthermore, a refinement via Narayana numbers highlights the contribution of peak distributions in pairs of Dyck paths, providing a finer combinatorial perspective. An integral representation is also proposed, suggesting a connection with orthogonal polynomials and spectral measures. Our approach illustrates how analytic and probabilistic techniques complement combinatorial reasoning in evaluating complex sums. △ Less",https://arxiv.org/abs/2604.05976,"Submitted 7 April, 2026",,arXiv
"A Formal Security Framework for MCP-Based AI Agents: Threat Taxonomy, Verification Models, and Defense Mechanisms","Nirajan Acharya , Gaurav Kumar Gupta","The Model Context Protocol (MCP), introduced by Anthropic in November 2024 and now governed by the Linux Foundation's Agentic AI Foundation, has rapidly become the de facto standard for connecting large language model (LLM)-based agents to external tools and data sources, with over 97 million monthly SDK downloads and more than 177000 registered tools. However, this explosive adoption has exposed a critical gap: the absence of a unified, formal security framework capable of systematically characterizing, analyzing, and mitigating the diverse threats facing MCP-based agent ecosystems. Existing security research remains fragmented across individual attack papers, isolated benchmarks, and point defense mechanisms. This paper presents MCPSHIELD, a comprehensive formal security framework for MCP-based AI agents. We make four principal contributions: (1) a hierarchical threat taxonomy comprising 7 threat categories and 23 distinct attack vectors organized across four attack surfaces, grounded in the analysis of over 177000 MCP tools; ( 2 ) a formal verification model based on labeled transition systems with trust boundary annotations that enables static and runtime analysis of MCP tool interaction chains; (3) a systematic comparative evaluation of 12 existing defense mechanisms, identifying coverage gaps across our threat taxonomy; and (4) a defense in depth reference architecture integrating capability based access control, cryptographic tool attestation, information flow tracking, and runtime policy enforcement. Our analysis reveals that no existing single defense covers more than 34 percent of the identified threat landscape, whereas MCPSHIELD's integrated architecture achieves theoretical coverage of 91 percent. We further identify seven open research challenges that must be addressed to secure the next generation of agentic AI systems. △ Less",https://arxiv.org/abs/2604.05969,"Submitted 7 April, 2026",,arXiv
Composition design of refractory compositionally complex alloys using machine learning models,"Tao Liang , Eric A. Lass , Haochen Zhu , Carla Joyce C. Nocheseda , Philip D. Rack , Stephen Puplampu , Dayakar Penumadu , Haixuan Xu","Refractory compositionally complex alloys (RCCAs) are considered the next generation high-temperature materials. However, their high-dimensional composition spaces are too large to explore by traditional density functional theory or experimental means, making new RCCA discovery slow and cumbersome. This work has addressed these challenges with an integrated composition design framework that can efficiently and exhaustively explore the relationship between the compositions and two fundamental aspects: 1) the phase stability, including the target body-centered cubic (BCC) phase and its competing phases (hexagonal closed-pack (HCP) structures, Laves and B2 intermetallic phases), and 2 ) the mechanical properties. This framework is demonstrated with RCCAs within nine refractory metals (Ti, V, Cr, Zr, Nb, Mo, Hf, Ta, and W). Theory-guided machine learning (ML) models were employed to find the composition-mechanical property relationship of RCCAs, where the established theory is used to supplement the yield strength data at ultra-high temperature, and a forward sequential feature selection (SFS) is used to determine feature selection. The resulting ML model for temperature-dependent yield strength was found to have an R_squared value of 0.98 over the entire temperature range (from 0 to 2000 K). The impact of each constituent element on the six key properties is evaluated. The addition of Nb tends to stabilize the BCC phase and the addition of Ti improves the ductility of RCCAs. Combined with all methods involved in this framework, the on-demand designer allows the alloy designers to have all properties for any RCCA compositions and narrow down the composition space by applying custom screening criteria. The output from the predictor and screener provides valuable guidance for our experimental study of RCCAs and accelerates the pace of materials discovery. △ Less",https://arxiv.org/abs/2604.05968,"Submitted 7 April, 2026",,arXiv
Distributed Quantum Property Testing with Communication Constraints,"Mina Doosti , Ryan Sweke , Chirag Wadhwa","We introduce a framework for distributed quantum inference under communication constraints. In our model, $m$ distributed nodes each receive one copy of an unknown $d$-dimensional quantum state $ρ$, before communicating via a constrained one-way communication channel with a central node, which aims to infer some property of $ρ$. This framework generalizes the classical distributed inference framework introduced by Acharya, Canonne, and Tyagi [COLT2019], by allowing quantum resources such as quantum communication and shared entanglement. Within this setting, we focus on the fundamental problem of quantum state certification: Given a complete description of some state $σ$, decide whether $ρ=σ$ or $\|ρ-σ\|_1\geq ε$. Additionally, we focus on the case of limited quantum communication between distributed nodes and the central node. We show that when each communication channel is limited to only $n_q\leq \log d$ qubits, then the sample complexity of distributed state certification is $\mathcal{O}(\frac{d^2}{2^{n_q}ε^2})$ when public randomness is available to all nodes. Moreover, under the assumption that the channels used by the distributed nodes are mixedness-preserving, we prove a matching lower bound. We further demonstrate that shared randomness is necessary to achieve the above complexity, by proving an $Ω(\frac{d^3}{4^{n_q} ε^2})$ lower bound in the private-coin setting under the same assumption as above. Our lower bounds leverage a recently introduced quantum analogue of the celebrated Ingster-Suslina method and generalize arguments from the classical setting. Together, our work provides the first characterization of distributed quantum state certification in the regime of limited quantum communication and establishes a general framework for distributed quantum inference with communication constraints. △ Less",https://arxiv.org/abs/2604.05962,"Submitted 7 April, 2026",,arXiv
HumANDiff: Articulated Noise Diffusion for Motion-Consistent Human Video Generation,"Tao Hu , Varun Jampani","Despite tremendous recent progress in human video generation, generative video diffusion models still struggle to capture the dynamics and physics of human motions faithfully. In this paper, we propose a new framework for human video generation, HumANDiff, which enhances the human motion control with three key designs: 1) Articulated motion-consistent noise sampling that correlates the spatiotemporal distribution of latent noise and replaces the unstructured random Gaussian noise with 3D articulated noise sampled on the dense surface manifold of a statistical human body template. It inherits body topology priors for spatially and temporally consistent noise sampling. 2 ) Joint appearance-motion learning that enhances the standard training objective of video diffusion models by jointly predicting pixel appearances and corresponding physical motions from the articulated noises. It enables high-fidelity human video synthesis, e.g., capturing motion-dependent clothing wrinkles. 3) Geometric motion consistency learning that enforces physical motion consistency across frames via a novel geometric motion consistency loss defined in the articulated noise space. HumANDiff enables scalable controllable human video generation by fine-tuning video diffusion models with articulated noise sampling. Consequently, our method is agnostic to diffusion model design, and requires no modifications to the model architecture. During inference, HumANDiff enables image-to-video generation within a single framework, achieving intrinsic motion control without requiring additional motion modules. Extensive experiments demonstrate that our method achieves state-of-the-art performance in rendering motion-consistent, high-fidelity humans with diverse clothing styles. Project page: https://taohuumd.github.io/projects/HumANDiff/ △ Less",https://arxiv.org/abs/2604.05961,"Submitted 7 April, 2026",,arXiv
